ID,TaxLevel,Lifeform,Morphology,Habit,Symbiont,fxlgp,TaxStatus,Synonym,CurrentSciName22chklst,CurrentAuth,ChcklstRemrks,NewSciCode,R6Scicode,FIANumCode,FIAAlphaCode,FIA Sci,NRCS Symbol,Common Name,Notes,Family,fxlgpcode,S_e_class,S_e_occ,S_e_max,S_e_CL =80+,S_e_50+,S_e_10+,S_w_class,S_w_occ,S_w_max,S_w_CL =80+,S_w_50+ w,S_w_10+ ,N_e_class ,N_e_occ,N_e_max,N_e_CL =80+,N_e_50+,N_e_10+,N_w_class,N_w_occ,N_w_max,N_w_CL =80+,N_w_50+,N_w_10+,consrv_stat,consrv_stat_link
7498,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Plectocarpon triebeliae,Plectocarpon triebeliae,Diederich & Ertz,,Pletri,,,,,,plectocarpon lichenicolous fungus,,Lecanographaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,Genus,Microlichen,Crustose,,Alga,,Current,Pleopsidium,Pleopsidium,Körber,,Pleopsidium,Pleopsidium,,,,PLEOP2,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,Species,Microlichen,Crustose,,Alga,,Synonym,Acarospora chlorophana,Pleopsidium chlorophanum,(Wahlenb.) Zopf,,Acachl,Plechl,,,,PLCH4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123402/Pleopsidium_chlorophanum
7501,Species,Microlichen,Crustose,,Alga,,Synonym,Acarospora erythrophora,Pleopsidium chlorophanum,(Wahlenb.) Zopf,,Acaery1,Plechl,,,,PLCH4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123402/Pleopsidium_chlorophanum
7502,Species,Microlichen,Crustose,,Alga,,Synonym,Acarospora texana,Pleopsidium chlorophanum,(Wahlenb.) Zopf,,Acatex,Plechl,,,,PLCH4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123402/Pleopsidium_chlorophanum
7503,Species,Microlichen,Crustose,,Alga,,Synonym,Acarospora weldensis,Pleopsidium chlorophanum,(Wahlenb.) Zopf,,Acawel,Plechl,,,,PLCH4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123402/Pleopsidium_chlorophanum
7504,Species,Microlichen,Crustose,,Alga,,Current,Pleopsidium chlorophanum,Pleopsidium chlorophanum,(Wahlenb.) Zopf,,Plechl,Plechl,,,,PLCH4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G5,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123402/Pleopsidium_chlorophanum
7505,Species,Microlichen,Crustose,,Alga,,Synonym,Acarospora flava,Pleopsidium flavum,(Bellardi) Körber,,Acafla,Plefla,,,,PLFL4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7506,Species,Microlichen,Crustose,,Alga,,Synonym,Acarospora oxytona,Pleopsidium flavum,(Bellardi) Körber,,Acaoxy,Plefla,,,,PLFL4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7507,Species,Microlichen,Crustose,,Alga,,Synonym,Acarospora stenospora,Pleopsidium flavum,(Bellardi) Körber,,Acaste,,,,,LEST10,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7508,Species,Microlichen,Crustose,,Alga,,Synonym,Lecanora stenospora,Pleopsidium flavum,(Bellardi) Körber,,Lecste,,,,,LEST10,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7509,Species,Microlichen,Crustose,,Alga,,Current,Pleopsidium flavum,Pleopsidium flavum,(Bellardi) Körber,,Plefla,Plefla,,,,PLFL4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7510,Species,Microlichen,Crustose,,Alga,,Synonym,Pleopsidium oxytonum,Pleopsidium flavum,(Bellardi) Körber,,Pleoxy,Plefla,,,,PLFL4,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7511,Species,Microlichen,Crustose,,Alga,,Current,Pleopsidium stenosporum,Pleopsidium stenosporum,(Stizenb. ex Hasse) K. Knudsen,,Pleste,,,,,,pleopsidium lichen,,Acarosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,Genus,Microlichen,Crustose,,,,Current,Poeltinula,Poeltinula,Hafellner,,Poeltinula,Poeltinula,,,,POELT,poeltinula lichen,,Rhizocarpaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7513,Species,Microlichen,Crustose,,,,Current,Poeltinula cerebrina,Poeltinula cerebrina,(DC.) Hafellner,,Poecer,,,,,POCE8,poeltinula lichen,,Rhizocarpaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7514,Genus,Microlichen,Crustose,,Alga,,Current,Polyblastia,Polyblastia,A. Massal.,,Polyblastia,Polyblastia,,,,POLYB2,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7515,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia albida,Polyblastia albida,Arnold,,Polalb,,,,,,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7516,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia amota,Polyblastia amota,Arnold,,Polamo,,,,,,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7517,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia bryophila,Polyblastia bryophila,Lönnr.,,Polbry,,,,,POBR10,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7518,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia cucurbitula,Polyblastia cucurbitula,J. W. Thomson & B. M. Murray,,Polcuc,,,,,POCU13,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7519,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia cupularis,Polyblastia cupularis,A. Massal.,,Polcup,,,,,POCU12,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7520,Species,Microlichen,Crustose,,Alga,,Synonym,Polyblastia intercedens,Polyblastia cupularis,A. Massal.,,Polint1,,,,,POCU12,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7521,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia epigaea,Polyblastia epigaea,A. Massal.,,Polepi,,,,,,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7522,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia exalbida,Polyblastia exalbida,(Nyl.) Zahlbr.,,Polexa,,,,,,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7523,Species,Microlichen,Crustose,,Alga,,Synonym,Verrucaria exalbida,Polyblastia exalbida,(Nyl.) Zahlbr.,,Verexa,,,,,,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7524,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia gothica,Polyblastia gothica,Th. Fr.,,Polgot,,,,,POGO2,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G3,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.122404/Polyblastia_gothica
7525,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia hyperborea,Polyblastia hyperborea,Th. Fr.,,Polhyp,Polhyp,,,,POHY60,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.127100/Polyblastia_hyperborea
7526,Species,Microlichen,Crustose,,Alga,,Synonym,Polyblastia integrascens,Polyblastia hyperborea,Th. Fr.,,Polint,Polhyp,,,,POHY60,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.127100/Polyblastia_hyperborea
7527,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia hyperborea var. macrospora,Polyblastia hyperborea var. macrospora,Lynge,,Polhyp1,,,,,POHYM,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7528,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia obsoleta,Polyblastia obsoleta,Arnold,,Polobs,,,,,POOB5,obsolete polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7529,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia quartzina,Polyblastia quartzina,Lynge,,Polqua,,,,,,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7530,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia sendtneri,Polyblastia sendtneri,Kremp.,,Polsen,,,,,POSE60,Sendtner's polyplastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125860/Polyblastia_sendtneri
7531,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia septentrionalis,Polyblastia septentrionalis,Lynge,,Polsep,,,,,POSE15,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7532,Species,Microlichen,Crustose,,Alga,,Current,Polyblastia theleodes,Polyblastia theleodes,(Sommerf.) Th. Fr.,,Polthe1,,,,,POTH5,polyblastia lichen,,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7533,Genus,Microlichen,,,Alga,,Current,Polycauliona,Polycauliona,Hue,,Polycauliona1,Polycauliona,,,,,orange lichen,,Teloschistaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7534,Species,Macrolichen,Foliose,Epiphytic,Alga,Matrix,Current,Polycauliona ascendens,Polycauliona ascendens,"(S. Y. Kondr.) Frödén, Arup, & Søchting",,Polasc,,,,,,orange lichen,,Teloschistaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7535,Species,Macrolichen,Foliose,Epiphytic,Alga,Matrix,Synonym,Xanthoria ascendens,Polycauliona ascendens,"(S. Y. Kondr.) Frödén, Arup, & Søchting",,Xanasc,,,,,,orange wall lichen,,Teloschistaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7536,Species,Microlichen,Crustose,,Alga,,Synonym,Caloplaca bolacina,Polycauliona bolacina,"(Tuck.) Arup, Frödén & Søchting",,Calbol,Calbol,,,,CABO13,orange lichen,,Teloschistaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125856/Polycauliona_bolacina
7537,Species,Microlichen,Crustose,,Alga,,Synonym,Placodium bolacinum,Polycauliona bolacina,"(Tuck.) Arup, Frödén & Søchting",,Plabol,,,,,,orange lichen,,Teloschistaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125856/Polycauliona_bolacina
7538,Species,Microlichen,Crustose,,Alga,,Current,Polycauliona bolacina,Polycauliona bolacina,"(Tuck.) Arup, Frödén & Søchting",,Polbol,,,,,,orange lichen,,Teloschistaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G4,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125856/Polycauliona_bolacina
7539,Species,Microlichen,Crustose,,Alga,,Synonym,Caloplaca brattiae,Polycauliona brattiae,"(W. A.Weber) Arup, Frödén & Søchting",,Calbra1,,,,,CABR33,Bratt's orange lichen,,Teloschistaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G1,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.122091/Polycauliona_brattiae
7540,Species,Microlichen,Crustose,,Alga,,Current,Polycauliona brattiae,Polycauliona brattiae,"(W. A.Weber) Arup, Frödén & Søchting",,Polbra,,,,,,orange lichen,,Teloschistaceae,,,,,,,,,,,,,,,,,,,,,,,,,,G1,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.122091/Polycauliona_brattiae
